name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120423_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Saarland,min_variable_cost,,hydrogen,14.610086,0,14.610086,14.610086,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120423_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Saarland,,,,469.609911,0,469.609911,469.609911,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120426_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Bremen,min_variable_cost,,hydrogen,39.764062,0,39.764062,39.764062,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120426_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Bremen,,,,1278.130573,0,1278.130573,1278.130573,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120428_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hydrogen,12.827117,0,12.827117,12.827117,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120428_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,412.300185,0,412.300185,412.300185,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120425_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Brandenburg,min_variable_cost,,hydrogen,23.08881,0,23.08881,23.08881,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120425_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Brandenburg,,,,742.140333,0,742.140333,742.140333,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120427_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Hamburg,min_variable_cost,,hydrogen,10.261693,0,10.261693,10.261693,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120427_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Hamburg,,,,329.840148,0,329.840148,329.840148,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120422_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hydrogen,49.238331,0,49.238331,49.238331,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120422_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,1582.660647,0,1582.660647,1582.660647,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120432_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Saarland,min_variable_cost,,hydrogen,28.001596,0,28.001596,28.001596,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120432_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Saarland,,,,900.051303,0,900.051303,900.051303,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120424_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Lower Saxony,min_variable_cost,,hydrogen,60.287449,0,60.287449,60.287449,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120424_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Lower Saxony,,,,1937.810869,0,1937.810869,1937.810869,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120421_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hydrogen,105.182358,0,105.182358,105.182358,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120421_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,3380.861516,0,3380.861516,3380.861516,1,1,0.7,,,,,,,,,,,,,,,,,,
