name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120423_dri_bof_natural_gas_external,steel_plant,dri_plant,Saarland,min_variable_cost,,natural_gas,13.149077,0,13.149077,13.149077,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120423_dri_bof_natural_gas_external,steel_plant,bof,Saarland,,,,7.305043,0,7.305043,7.305043,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120426_dri_bof_natural_gas_external,steel_plant,dri_plant,Bremen,min_variable_cost,,natural_gas,35.787656,0,35.787656,35.787656,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120426_dri_bof_natural_gas_external,steel_plant,bof,Bremen,,,,19.882031,0,19.882031,19.882031,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120428_dri_bof_natural_gas_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,natural_gas,11.544405,0,11.544405,11.544405,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120428_dri_bof_natural_gas_external,steel_plant,bof,North Rhine-Westphalia,,,,6.413558,0,6.413558,6.413558,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120425_dri_bof_natural_gas_external,steel_plant,dri_plant,Brandenburg,min_variable_cost,,natural_gas,20.779929,0,20.779929,20.779929,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120425_dri_bof_natural_gas_external,steel_plant,bof,Brandenburg,,,,11.544405,0,11.544405,11.544405,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120427_dri_bof_natural_gas_external,steel_plant,dri_plant,Hamburg,min_variable_cost,,natural_gas,9.235524,0,9.235524,9.235524,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120427_dri_bof_natural_gas_external,steel_plant,bof,Hamburg,,,,5.130847,0,5.130847,5.130847,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120422_dri_bof_natural_gas_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,natural_gas,44.314498,0,44.314498,44.314498,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120422_dri_bof_natural_gas_external,steel_plant,bof,North Rhine-Westphalia,,,,24.619166,0,24.619166,24.619166,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120432_dri_bof_natural_gas_external,steel_plant,dri_plant,Saarland,min_variable_cost,,natural_gas,25.201436,0,25.201436,25.201436,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120432_dri_bof_natural_gas_external,steel_plant,bof,Saarland,,,,14.000798,0,14.000798,14.000798,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120424_dri_bof_natural_gas_external,steel_plant,dri_plant,Lower Saxony,min_variable_cost,,natural_gas,54.258704,0,54.258704,54.258704,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120424_dri_bof_natural_gas_external,steel_plant,bof,Lower Saxony,,,,30.143725,0,30.143725,30.143725,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
P100000120421_dri_bof_natural_gas_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,natural_gas,94.664122,0,94.664122,94.664122,0,0,,,,0.09,2.44,,1.4,,5,,,,,,,,,,0.2
P100000120421_dri_bof_natural_gas_external,steel_plant,bof,North Rhine-Westphalia,,,,52.591179,0,52.591179,52.591179,0,0,,0.1,1,0.05,,,,0.05,5,,,,,,,,,,
