datetime,building_1_electricity_demand,building_1_vehicle_availability,building_1_vehicle_trip_energy,electricity_import_price,electricity_export_price
2025-01-01 00:00,0.05,1.0,0.0,25,20
2025-01-01 01:00,0.05,1.0,0.0,25,20
2025-01-01 02:00,0.05,1.0,0.0,25,20
2025-01-01 03:00,0.05,1.0,0.0,25,20
2025-01-01 04:00,0.05,1.0,0.0,25,20
2025-01-01 05:00,0.05,1.0,0.0,25,20
2025-01-01 06:00,0.05,0.0,0.2,100,95
2025-01-01 07:00,0.05,0.0,0.2,100,95
2025-01-01 08:00,0.05,0.0,0.2,100,95
2025-01-01 09:00,0.05,0.0,0.2,100,95
2025-01-01 10:00,0.05,1.0,0.0,45,40
2025-01-01 11:00,0.05,1.0,0.0,45,40
2025-01-01 12:00,0.05,1.0,0.0,45,40
2025-01-01 13:00,0.05,1.0,0.0,45,40
2025-01-01 14:00,0.05,1.0,0.0,45,40
2025-01-01 15:00,0.05,1.0,0.0,45,40
2025-01-01 16:00,0.05,0.0,0.2,120,115
2025-01-01 17:00,0.05,0.0,0.2,120,115
2025-01-01 18:00,0.05,0.5,0.1,180,175
2025-01-01 19:00,0.05,0.5,0.1,180,175
2025-01-01 20:00,0.05,0.5,0.1,180,175
2025-01-01 21:00,0.05,1.0,0.0,40,35
2025-01-01 22:00,0.05,1.0,0.0,40,35
2025-01-01 23:00,0.05,1.0,0.0,40,35
