name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120423_dri_eaf_coal_external,steel_plant,dri_plant,Saarland,min_variable_cost,,coal,29.121579,0,29.121579,29.121579,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120423_dri_eaf_coal_external,steel_plant,eaf,Saarland,,,,142.372163,0,142.372163,142.372163,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120426_dri_eaf_coal_external,steel_plant,dri_plant,Bremen,min_variable_cost,,coal,41.783135,0,41.783135,41.783135,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120426_dri_eaf_coal_external,steel_plant,eaf,Bremen,,,,204.273103,0,204.273103,204.273103,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120428_dri_eaf_coal_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,coal,13.716686,0,13.716686,13.716686,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120428_dri_eaf_coal_external,steel_plant,eaf,North Rhine-Westphalia,,,,67.059352,0,67.059352,67.059352,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120425_dri_eaf_coal_external,steel_plant,dri_plant,Brandenburg,min_variable_cost,,coal,25.323112,0,25.323112,25.323112,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120425_dri_eaf_coal_external,steel_plant,eaf,Brandenburg,,,,123.801881,0,123.801881,123.801881,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120427_dri_eaf_coal_external,steel_plant,dri_plant,Hamburg,min_variable_cost,,coal,11.606426,0,11.606426,11.606426,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120427_dri_eaf_coal_external,steel_plant,eaf,Hamburg,,,,56.742529,0,56.742529,56.742529,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120422_dri_eaf_coal_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,coal,44.315446,0,44.315446,44.315446,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120422_dri_eaf_coal_external,steel_plant,eaf,North Rhine-Westphalia,,,,216.653291,0,216.653291,216.653291,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120432_dri_eaf_coal_external,steel_plant,dri_plant,Saarland,min_variable_cost,,coal,28.488501,0,28.488501,28.488501,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120432_dri_eaf_coal_external,steel_plant,eaf,Saarland,,,,139.277116,0,139.277116,139.277116,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120424_dri_eaf_coal_external,steel_plant,dri_plant,Lower Saxony,min_variable_cost,,coal,54.866743,0,54.866743,54.866743,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120424_dri_eaf_coal_external,steel_plant,eaf,Lower Saxony,,,,268.237408,0,268.237408,268.237408,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
P100000120421_dri_eaf_coal_external,steel_plant,dri_plant,North Rhine-Westphalia,min_variable_cost,,coal,94.96167,0,94.96167,94.96167,0,0,,,,0.09,,,1.4,,5,,,,,,,,5.24,0.34,
P100000120421_dri_eaf_coal_external,steel_plant,eaf,North Rhine-Westphalia,,,,464.257053,0,464.257053,464.257053,0,0,,0.1,1,0.44,,,,0.05,5,,,,,,,,,,
