name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120423_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Saarland,min_variable_cost,,hydrogen,32.35731,0,32.35731,32.35731,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120423_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Saarland,,,,1040.056385,0,1040.056385,1040.056385,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120426_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Bremen,min_variable_cost,,hydrogen,46.425705,0,46.425705,46.425705,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120426_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Bremen,,,,1492.254813,0,1492.254813,1492.254813,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120428_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hydrogen,15.240762,0,15.240762,15.240762,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120428_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,489.881631,0,489.881631,489.881631,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120425_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Brandenburg,min_variable_cost,,hydrogen,28.136791,0,28.136791,28.136791,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120425_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Brandenburg,,,,904.396857,0,904.396857,904.396857,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120427_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Hamburg,min_variable_cost,,hydrogen,12.896029,0,12.896029,12.896029,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120427_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Hamburg,,,,414.515226,0,414.515226,414.515226,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120422_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hydrogen,49.239384,0,49.239384,49.239384,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120422_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,1582.694499,0,1582.694499,1582.694499,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120432_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Saarland,min_variable_cost,,hydrogen,31.65389,0,31.65389,31.65389,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120432_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Saarland,,,,1017.446464,0,1017.446464,1017.446464,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120424_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,Lower Saxony,min_variable_cost,,hydrogen,60.963047,0,60.963047,60.963047,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120424_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,Lower Saxony,,,,1959.526523,0,1959.526523,1959.526523,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120421_bf_bof_hydrogen_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hydrogen,105.512967,0,105.512967,105.512967,0,0,,0.1,,0.1,,2.25,1.4,0.05,5,,,,,,,,,,
P100000120421_bf_bof_hydrogen_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,3391.488212,0,3391.488212,3391.488212,1,1,0.7,,,,,,,,,,,,,,,,,,
