datetime,plant_1_heat_demand,ES_DA_price,natural_gas_price,co2_price,ES_ID3_price,ES_ID3_volume,aFRR_energy_down_quantity,aFRR_energy_down_price,aFRR_capacity_down_price,grid_energy_charge,co2_intensity_kgco2_MWh
01.01.2025 00:00,8.43,134.49,59.4,,122.54624,55.6,11.7,101.06,2.5,0.683,261.13200851667847
01.01.2025 00:15,8.43,134.49,59.4,,122.54624,55.6,8.8,95.96,2.5,0.683,261.9221140472879
01.01.2025 00:30,8.43,134.49,59.4,,122.54624,55.6,21.7,101.68,2.5,0.683,258.674357629785
01.01.2025 00:45,8.43,134.49,59.4,,122.54624,55.6,44.5,100.57,2.5,0.683,253.79571226080796
01.01.2025 01:00,8.43,131.59,59.4,,97.09853,70.6,33.1,109.27,3.94,0.683,251.18814016172507
01.01.2025 01:15,8.43,131.59,59.4,,97.09853,70.6,24.2,107.66,3.94,0.683,252.9180298400144
01.01.2025 01:30,8.43,131.59,59.4,,97.09853,70.6,8.0,92.84,3.94,0.683,251.8130183916336
01.01.2025 01:45,8.43,131.59,59.4,,97.09853,70.6,3.2,60.37,3.94,0.683,246.7193332125385
01.01.2025 02:00,8.43,131.49,59.4,,102.34908,187.8,0.0,0.0,3.94,0.683,240.39793662490789
01.01.2025 02:15,8.43,131.49,59.4,,102.34908,187.8,0.0,118.98,3.94,0.683,241.53232639528457
01.01.2025 02:30,8.43,131.49,59.4,,102.34908,187.8,0.0,118.98,3.94,0.683,234.5827540860417
01.01.2025 02:45,8.43,131.49,59.4,,102.34908,187.8,0.0,118.91,3.94,0.683,228.11987020423743
01.01.2025 03:00,8.43,131.42,59.4,,92.97838,265.0,0.0,118.91,5.03,0.683,222.9975009611688
01.01.2025 03:15,8.43,131.42,59.4,,92.97838,265.0,0.0,67.75,5.03,0.683,227.8491910631741
01.01.2025 03:30,8.43,131.42,59.4,,92.97838,265.0,0.2,44.64,5.03,0.683,225.90505090054816
01.01.2025 03:45,8.43,131.42,59.4,,92.97838,265.0,19.6,103.02,5.03,0.683,223.58081107814044
01.01.2025 04:00,8.43,120.49,59.4,,106.75593,359.4,6.4,75.85,6.44,0.683,220.97914577902543
01.01.2025 04:15,8.43,120.49,59.4,,106.75593,359.4,0.9,88.36,6.44,0.683,220.4945404010324
01.01.2025 04:30,8.43,120.49,59.4,,106.75593,359.4,6.3,94.1,6.44,0.683,216.64959138927645
01.01.2025 04:45,8.43,120.49,59.4,,106.75593,359.4,20.9,94.13,6.44,0.683,213.69717604646505
01.01.2025 05:00,8.43,112.3,59.4,,94.827835,188.2,13.7,98.9,5.97,0.683,210.32635393597744
01.01.2025 05:15,8.43,112.3,59.4,,94.827835,188.2,5.0,82.01,5.97,0.683,211.9037216828479
01.01.2025 05:30,8.43,112.3,59.4,,94.827835,188.2,0.0,111.09,5.97,0.683,213.83058350100603
01.01.2025 05:45,8.43,112.3,59.4,,94.827835,188.2,0.0,0.0,5.97,0.683,216.00539352776667
01.01.2025 06:00,8.64,112.3,59.4,,92.13437,177.5,0.0,111.09,6.02,0.683,216.19189893723683
01.01.2025 06:15,8.64,112.3,59.4,,92.13437,177.5,0.0,108.68,6.02,0.683,214.37007874015748
01.01.2025 06:30,8.64,112.3,59.4,,92.13437,177.5,1.1,50.8,6.02,0.683,212.9656357388316
01.01.2025 06:45,8.64,112.3,59.4,,92.13437,177.5,0.2,34.38,6.02,0.683,213.3246306415705
01.01.2025 07:00,8.78,111.88,59.4,,93.68541,247.3,0.5,84.0,6.6,0.683,215.6085114965712
01.01.2025 07:15,8.78,111.88,59.4,,93.68541,247.3,4.0,84.9,6.6,0.683,220.3838504375497
01.01.2025 07:30,8.78,111.88,59.4,,93.68541,247.3,1.9,78.82,6.6,0.683,218.5347721822542
01.01.2025 07:45,8.78,111.88,59.4,,93.68541,247.3,1.4,60.65,6.6,0.683,217.53179190751445
01.01.2025 08:00,8.97,112.09,59.4,,101.82628,276.8,3.5,74.86,859.44,0.683,218.07845084409132
01.01.2025 08:15,8.97,112.09,59.4,,101.82628,276.8,25.0,101.78,859.44,0.683,216.8516450648056
01.01.2025 08:30,8.97,112.09,59.4,,101.82628,276.8,8.2,70.74,859.44,0.683,215.6365629984051
01.01.2025 08:45,8.97,112.09,59.4,,101.82628,276.8,0.2,0.0,859.44,0.683,209.4744176786781
01.01.2025 09:00,8.97,94.99,59.4,,81.99544,486.5,13.4,83.76,27.06,0.683,205.6809756097561
01.01.2025 09:15,8.97,94.99,59.4,,81.99544,486.5,16.9,89.28,27.06,0.683,202.50325027085592
01.01.2025 09:30,8.97,94.99,59.4,,81.99544,486.5,17.0,80.69,27.06,0.683,190.6384492263916
01.01.2025 09:45,8.97,94.99,59.4,,81.99544,486.5,104.4,32.09,27.06,0.683,170.80642345959154
01.01.2025 10:00,8.97,35.0,59.4,,32.269352,436.3,197.0,-1.34,8.22,0.683,156.05355920602327
01.01.2025 10:15,8.97,35.0,59.4,,32.269352,436.3,135.2,1.05,8.22,0.683,140.8295190713101
01.01.2025 10:30,8.97,35.0,59.4,,32.269352,436.3,37.9,17.35,8.22,0.683,123.4077997111218
01.01.2025 10:45,8.97,35.0,59.4,,32.269352,436.3,38.1,19.32,8.22,0.683,113.53640625
01.01.2025 11:00,8.97,20.59,59.4,,42.328854,322.4,18.7,5.51,2.07,0.683,108.99459125328389
01.01.2025 11:15,8.97,20.59,59.4,,42.328854,322.4,0.0,17.99,2.07,0.683,101.47205725597684
01.01.2025 11:30,8.97,20.59,59.4,,42.328854,322.4,0.0,21.59,2.07,0.683,93.20719903206292
01.01.2025 11:45,8.97,20.59,59.4,,42.328854,322.4,0.0,25.51,2.07,0.683,93.39880059970017
01.01.2025 12:00,8.97,28.11,59.4,,50.876537,678.8,0.0,25.51,3.5,0.683,94.1626523936961
01.01.2025 12:15,8.97,28.11,59.4,,50.876537,678.8,0.0,25.51,3.5,0.683,94.40870079905298
01.01.2025 12:30,8.97,28.11,59.4,,50.876537,678.8,0.0,25.51,3.5,0.683,92.3766921718658
01.01.2025 12:45,8.97,28.11,59.4,,50.876537,678.8,5.5,10.95,3.5,0.683,95.97315436241612
01.01.2025 13:00,8.97,30.0,59.4,,53.815125,886.6,0.5,0.58,2.62,0.683,101.47873263888889
01.01.2025 13:15,8.97,30.0,59.4,,53.815125,886.6,0.0,11.0,2.62,0.683,103.05573202425644
01.01.2025 13:30,8.97,30.0,59.4,,53.815125,886.6,0.0,27.4,2.62,0.683,102.43504531722054
