Données Plateforme PICASSO du 31/12/2025
Heure de début;Heure de fin;Besoin en aFRR hausse exprimé par RTE (en MW);Besoin en aFRR baisse exprimé par RTE (en MW);Volume d'aFRR à la hausse activé pour la France (en MW);Volume d'aFRR à la baisse activé pour la France (en MW);Prix Moyen Pondéré d'aFRR activée à la hausse pour la France (en Euros/MWh);Prix Moyen Pondéré d'aFRR activée à la baisse pour la France (en Euros/MWh);Volume d'aFRR à la hausse activé en France (en MW);Volume d'aFRR à la baisse activé en France (en MW)
01/01/2025 00:00;01/01/2025 00:15;0;795;21;377;39.59;-1.95;21;377
01/01/2025 00:15;01/01/2025 00:30;244;0;206;0;15.23;131.85;206;0
01/01/2025 00:30;01/01/2025 00:45;90;230;120;34;15.03;27.45;120;34
01/01/2025 00:45;01/01/2025 01:00;0;1114;0;665;14.71;14.28;0;665
01/01/2025 01:00;01/01/2025 01:15;26;164;4;242;14.71;14.20;4;242
01/01/2025 01:15;01/01/2025 01:30;14;51;9;5;15.30;127.23;9;5
01/01/2025 01:30;01/01/2025 01:45;154;16;90;5;15.35;71.22;90;5
01/01/2025 01:45;01/01/2025 02:00;0;264;7;0;14.44;99.07;7;0
01/01/2025 02:00;01/01/2025 02:15;1219;2;528;0;555.05;65.14;528;0
01/01/2025 02:15;01/01/2025 02:30;1105;0;691;0;488.60;128.10;691;0
01/01/2025 02:30;01/01/2025 02:45;1248;0;691;0;483.63;128.10;691;0
01/01/2025 02:45;01/01/2025 03:00;585;0;326;0;21.57;128.10;326;0
01/01/2025 03:00;01/01/2025 03:15;1363;0;584;0;767.25;13.98;584;0
01/01/2025 03:15;01/01/2025 03:30;954;0;688;0;554.20;12.06;688;0
01/01/2025 03:30;01/01/2025 03:45;749;0;352;0;12.29;12.06;352;0
01/01/2025 03:45;01/01/2025 04:00;74;77;21;32;10.80;10.80;21;32
01/01/2025 04:00;01/01/2025 04:15;142;43;48;37;10.80;10.72;48;37
01/01/2025 04:15;01/01/2025 04:30;306;0;250;0;9.99;10.38;250;0
01/01/2025 04:30;01/01/2025 04:45;342;0;259;0;9.99;10.38;259;0
01/01/2025 04:45;01/01/2025 05:00;173;2;129;0;9.99;10.38;129;0
01/01/2025 05:00;01/01/2025 05:15;521;0;275;0;9.99;19.12;275;0
