datetime,plant_1_heat_demand,FR_DA_price,natural_gas_price,co2_price,FR_ID3_price,FR_ID3_volume,aFRR_energy_down_quantity,aFRR_energy_down_price,aFRR_capacity_down_price,TURPE,accise,grid_energy_charge,FR_aFRR_capacity_down_marginal_price,co2_intensity_kgco2_MWh
2025-01-01 00:00:00,8.43,12.36,64.9,,85.26,9.65,377.0,-1.95,5.39,1.66,20.5,22.16,1.3475,35.201874460108044
2025-01-01 00:15:00,8.43,12.36,64.9,,85.26,9.65,0.0,131.85,5.39,1.66,20.5,22.16,1.3475,34.624787586493554
2025-01-01 00:30:00,8.43,12.36,64.9,,-17.67,9.65,34.0,27.45,5.39,1.66,20.5,22.16,1.3475,34.12443063637082
2025-01-01 00:45:00,8.43,12.36,64.9,,-17.67,9.65,665.0,14.28,5.39,1.66,20.5,22.16,1.3475,33.440138309505166
2025-01-01 01:00:00,8.43,18.92,64.9,,16.7,9.65,242.0,14.2,5.0,1.66,20.5,22.16,1.25,32.681539669825874
2025-01-01 01:15:00,8.43,18.92,64.9,,16.7,9.65,5.0,127.23,5.0,1.66,20.5,22.16,1.25,32.7721601371764
2025-01-01 01:30:00,8.43,18.92,64.9,,16.7,9.65,5.0,71.22,5.0,1.66,20.5,22.16,1.25,33.03655399463606
2025-01-01 01:45:00,8.43,18.92,64.9,,16.7,9.65,0.0,99.07,5.0,1.66,20.5,22.16,1.25,32.32306885171741
2025-01-01 02:00:00,8.43,16.66,64.9,,-52.38,9.65,0.0,65.14,3.37,1.66,20.5,22.16,0.8425,31.45466826966728
2025-01-01 02:15:00,8.43,16.66,64.9,,-52.38,9.65,0.0,128.1,3.37,1.66,20.5,22.16,0.8425,31.954024056758325
2025-01-01 02:30:00,8.43,16.66,64.9,,84.31,8.4,0.0,128.1,3.37,1.66,20.5,22.16,0.8425,31.7391620719284
2025-01-01 02:45:00,8.43,16.66,64.9,,84.31,8.4,0.0,128.1,3.37,1.66,20.5,22.16,0.8425,31.899121513778223
2025-01-01 03:00:00,8.43,13.1,64.9,,22.83,8.4,0.0,13.98,3.37,1.66,20.5,22.16,0.8425,31.917302261026737
2025-01-01 03:15:00,8.43,13.1,64.9,,22.83,8.4,0.0,12.06,3.37,1.66,20.5,22.16,0.8425,31.963065331113533
2025-01-01 03:30:00,8.43,13.1,64.9,,13.06,56.4,0.0,12.06,3.37,1.66,20.5,22.16,0.8425,32.300538466319686
2025-01-01 03:45:00,8.43,13.1,64.9,,13.06,56.4,32.0,10.8,3.37,1.66,20.5,22.16,0.8425,32.829451114046066
2025-01-01 04:00:00,8.43,5.9,64.9,,13.99,39.55,37.0,10.72,2.63,1.66,20.5,22.16,0.6575,32.6282126153729
2025-01-01 04:15:00,8.43,5.9,64.9,,13.99,39.55,0.0,10.38,2.63,1.66,20.5,22.16,0.6575,32.83855869985984
2025-01-01 04:30:00,8.43,5.9,64.9,,26.46,6.15,0.0,10.38,2.63,1.66,20.5,22.16,0.6575,32.95787211320698
2025-01-01 04:45:00,8.43,5.9,64.9,,26.46,6.15,0.0,10.38,2.63,1.66,20.5,22.16,0.6575,32.85805594154147
2025-01-01 05:00:00,8.43,9.27,64.9,,26.17,24.75,0.0,19.12,2.63,1.66,20.5,22.16,0.6575,32.62911771212987
2025-01-01 05:15:00,8.43,9.27,64.9,,26.17,24.75,0.0,19.12,2.63,1.66,20.5,22.16,0.6575,32.66225619232919
2025-01-01 05:30:00,8.43,9.27,64.9,,19.25,70.55,0.0,19.12,2.63,1.66,20.5,22.16,0.6575,33.18677787448183
2025-01-01 05:45:00,8.43,9.27,64.9,,19.25,70.55,3.0,12.31,2.63,1.66,20.5,22.16,0.6575,32.68669609236678
2025-01-01 06:00:00,8.64,10.04,64.9,,4.21,38.55,0.0,57.49,4.8,1.66,20.5,22.16,1.2,32.36754051563714
