name,unit_type,technology,node,objective,steel_demand,fuel_type,max_power,min_power,ramp_up,ramp_down,min_operating_time,min_down_time,efficiency,lime_co2_factor,specific_dri_demand,specific_electricity_consumption,specific_natural_gas_consumption,specific_hydrogen_consumption,specific_iron_ore_consumption,specific_lime_demand,start_price,max_capacity,min_capacity,initial_soc,storage_loss_rate,efficiency_charge,efficiency_discharge,max_operating_hours,specific_coal_consumption,coal_co2_factor,natural_gas_co2_factor
P100000120423_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,Saarland,min_variable_cost,,hybrid_hydrogen_natural_gas,15.228937,0,15.228937,15.228937,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120423_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Saarland,,,,489.501539,0,489.501539,489.501539,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120426_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,Bremen,min_variable_cost,,hybrid_hydrogen_natural_gas,41.448379,0,41.448379,41.448379,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120426_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Bremen,,,,1332.269334,0,1332.269334,1332.269334,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120428_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,13.370445,0,13.370445,13.370445,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120428_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,429.764301,0,429.764301,429.764301,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120425_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,Brandenburg,min_variable_cost,,hybrid_hydrogen_natural_gas,24.066801,0,24.066801,24.066801,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120425_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Brandenburg,,,,773.575742,0,773.575742,773.575742,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120427_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,Hamburg,min_variable_cost,,hybrid_hydrogen_natural_gas,10.696356,0,10.696356,10.696356,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120427_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Hamburg,,,,343.811441,0,343.811441,343.811441,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120422_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,49.23833,0,49.23833,49.23833,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120422_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,1582.660619,0,1582.660619,1582.660619,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120432_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,Saarland,min_variable_cost,,hybrid_hydrogen_natural_gas,29.187681,0,29.187681,29.187681,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120432_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Saarland,,,,938.175469,0,938.175469,938.175469,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120424_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,Lower Saxony,min_variable_cost,,hybrid_hydrogen_natural_gas,60.961742,0,60.961742,60.961742,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120424_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,Lower Saxony,,,,1959.484575,0,1959.484575,1959.484575,1,1,0.7,,,,,,,,,,,,,,,,,,
P100000120421_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,bf_bof,North Rhine-Westphalia,min_variable_cost,,hybrid_hydrogen_natural_gas,105.510708,0,105.510708,105.510708,0,0,,0.1,,0.1,2.44,2.25,1.4,0.05,5,,,,,,,,,,0.2
P100000120421_bf_bof_hybrid_hydrogen_natural_gas_electrolyser,steel_plant,electrolyser,North Rhine-Westphalia,,,,3391.415611,0,3391.415611,3391.415611,1,1,0.7,,,,,,,,,,,,,,,,,,
