block_id,block_start,block_end,block_duration_h,capacity_price_input_unit,capacity_price_raw,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,capacity_pricing_rule,opportunity_cost_EUR_per_MW_h,capacity_bid_price_EUR_per_MW_h,capacity_clearing_price_EUR_per_MW_h,capacity_settlement_price_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,capacity_opportunity_cost_EUR,capacity_market_surplus_EUR,capacity_net_value_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-05-10_00:00_04:00,2025-05-10 00:00:00+02:00,2025-05-10 04:00:00+02:00,4.0,EUR_per_MW_per_h,2.07,2.07,False,False,16,pay_as_bid,0.0,2.07,2.07,2.07,True,True,False,True,False,6,6,0,-32.47903529411765,8.344,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,204.08163265306123,0.0,0.0
2025-05-10_04:00_08:00,2025-05-10 04:00:00+02:00,2025-05-10 08:00:00+02:00,4.0,EUR_per_MW_per_h,2.39,2.39,False,False,16,pay_as_bid,0.0,2.39,2.39,2.39,True,True,False,True,False,10,7,0,-38.839035294117636,40.528,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.16596254996844,2.5,22.575
2025-05-10_08:00_12:00,2025-05-10 08:00:00+02:00,2025-05-10 12:00:00+02:00,4.0,EUR_per_MW_per_h,48.46,48.46,False,False,16,pay_as_bid,41.44072352941177,48.46,48.46,48.46,True,True,False,True,False,14,1,0,-24.93903529411763,85.116,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,186.28252610018004,0.0,0.0
2025-05-10_12:00_16:00,2025-05-10 12:00:00+02:00,2025-05-10 16:00:00+02:00,4.0,EUR_per_MW_per_h,85.66,85.66,False,False,16,pay_as_bid,133.8709647058824,85.66,85.66,85.66,True,False,True,True,False,14,0,0,23.21096470588236,110.556,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168.54891523661564,2.5,-19.825
2025-05-10_16:00_20:00,2025-05-10 16:00:00+02:00,2025-05-10 20:00:00+02:00,4.0,EUR_per_MW_per_h,27.32,27.32,False,False,16,pay_as_bid,20.79298235294118,27.32,27.32,27.32,True,True,False,True,False,10,3,1,-25.799035294117644,47.732,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,173.27999158022766,8.024,91.21306
2025-05-10_20:00_00:00,2025-05-10 20:00:00+02:00,2025-05-11 00:00:00+02:00,4.0,EUR_per_MW_per_h,1.27,1.27,False,False,16,pay_as_bid,0.0,1.27,1.27,1.27,True,True,False,True,False,15,12,1,-31.249035294117633,88.492,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,201.0186871449611,7.5,265.425
2025-05-11_00:00_04:00,2025-05-11 00:00:00+02:00,2025-05-11 04:00:00+02:00,4.0,EUR_per_MW_per_h,2.72,2.72,False,False,16,pay_as_bid,0.0,2.72,2.72,2.72,True,True,False,True,False,13,10,1,-35.279035294117634,20.356,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,199.48778866926153,4.21,163.9623
2025-05-11_04:00_08:00,2025-05-11 04:00:00+02:00,2025-05-11 08:00:00+02:00,4.0,EUR_per_MW_per_h,3.93,3.93,False,False,16,pay_as_bid,0.0,3.93,3.93,3.93,True,True,False,True,False,8,3,1,-33.73903529411764,60.1,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,199.45623754299916,7.558,76.62054
2025-05-11_08:00_12:00,2025-05-11 08:00:00+02:00,2025-05-11 12:00:00+02:00,4.0,EUR_per_MW_per_h,78.09,78.09,False,False,16,pay_as_bid,65.38846470588236,78.09,78.09,78.09,True,True,True,True,True,16,0,0,21.11096470588236,159.448,10.0,10.0,1.0,10.0,3123.6000000000004,2615.5385882352944,0.0,508.061411764706,10.0,197.04206144041822,26.697,-723.2763100000001
2025-05-11_12:00_16:00,2025-05-11 12:00:00+02:00,2025-05-11 16:00:00+02:00,4.0,EUR_per_MW_per_h,169.98,169.98,False,False,16,pay_as_bid,251.65596470588233,169.98,169.98,169.98,True,False,True,True,False,16,0,0,14.760964705882358,709.176,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,177.77460201971664,2.5,-43.2
