block_id,block_start,block_end,block_duration_h,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,opportunity_cost_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-01-01_00:00_04:00,2025-01-01 00:00:00+01:00,2025-01-01 04:00:00+01:00,4.0,28.8,False,False,16,0.0,True,True,False,True,False,10,6,0,-45.297647058823536,70.428,16.0,16.0,1.0,0.0,0.0,16.0,327.6,7.661,-59.58602
2025-01-01_04:00_08:00,2025-01-01 04:00:00+01:00,2025-01-01 08:00:00+01:00,4.0,23.72,False,False,16,0.0,True,True,False,True,False,15,2,1,-51.25764705882353,258.64,16.0,16.0,1.0,0.0,0.0,16.0,285.70858266951103,44.414,-2297.54956
2025-01-01_08:00_12:00,2025-01-01 08:00:00+01:00,2025-01-01 12:00:00+01:00,4.0,19.12,False,False,16,0.0,True,True,False,True,False,16,4,0,-2293.7676470588235,643.932,16.0,16.0,1.0,0.0,0.0,16.0,279.68146490673126,28.0,-2821.12
2025-01-01_12:00_16:00,2025-01-01 12:00:00+01:00,2025-01-01 16:00:00+01:00,4.0,19.17,False,False,16,0.0,True,True,False,True,False,15,3,0,-13.50764705882353,180.848,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-01-01_16:00_20:00,2025-01-01 16:00:00+01:00,2025-01-01 20:00:00+01:00,4.0,10.5,False,False,16,0.0,True,True,False,True,False,14,2,0,-4.75764705882353,161.012,16.0,16.0,1.0,0.0,0.0,16.0,328.6231578947369,4.0,-430.12
2025-01-01_20:00_00:00,2025-01-01 20:00:00+01:00,2025-01-02 00:00:00+01:00,4.0,13.4,False,False,16,0.0,True,True,True,True,True,16,0,0,9.792352941176468,535.768,16.0,16.0,1.0,16.0,857.6,16.0,225.4121913356228,55.078,-6007.3862
2025-01-02_00:00_04:00,2025-01-02 00:00:00+01:00,2025-01-02 04:00:00+01:00,4.0,20.8,False,False,16,0.0,True,True,False,True,False,15,6,0,-33.377647058823534,611.644,14.088261958476425,14.0,1.0,0.0,0.0,0.0,135.18992612151857,32.0,-2759.88
2025-01-02_04:00_08:00,2025-01-02 04:00:00+01:00,2025-01-02 08:00:00+01:00,4.0,22.0,False,False,16,0.0,True,True,False,True,False,16,5,0,-94.16764705882355,850.42,14.088261958476425,14.0,1.0,0.0,0.0,0.0,67.50572709991361,34.848,-4158.14624
2025-01-02_08:00_12:00,2025-01-02 08:00:00+01:00,2025-01-02 12:00:00+01:00,4.0,6.36,False,False,16,0.0,True,True,False,True,False,13,13,0,-125.62764705882353,222.344,14.088261958476425,14.0,1.0,0.0,0.0,16.0,125.56638331432035,0.0,0.0
2025-01-02_12:00_16:00,2025-01-02 12:00:00+01:00,2025-01-02 16:00:00+01:00,4.0,9.05,False,False,16,0.0,True,True,False,True,False,8,8,0,-100.65764705882353,137.396,14.088261958476425,14.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-01-02_16:00_20:00,2025-01-02 16:00:00+01:00,2025-01-02 20:00:00+01:00,4.0,3.3,False,False,16,0.0,True,True,False,True,False,15,15,0,-95.49764705882353,250.328,14.088261958476425,14.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-01-02_20:00_00:00,2025-01-02 20:00:00+01:00,2025-01-03 00:00:00+01:00,4.0,6.59,False,False,16,0.0,True,True,False,True,False,12,10,0,-59.61764705882353,203.372,14.088261958476425,14.0,1.0,0.0,0.0,16.0,320.41242947368426,8.0,-108.92
2025-01-03_00:00_04:00,2025-01-03 00:00:00+01:00,2025-01-03 04:00:00+01:00,4.0,14.67,False,False,16,0.0,True,True,False,True,False,15,13,0,-77.08764705882353,431.304,16.0,16.0,1.0,0.0,0.0,16.0,327.6,8.0,-68.52
2025-01-03_04:00_08:00,2025-01-03 04:00:00+01:00,2025-01-03 08:00:00+01:00,4.0,12.97,False,False,16,0.0,True,True,False,True,False,16,9,0,-56.10764705882354,826.82,16.0,16.0,1.0,0.0,0.0,16.0,291.1624900901551,28.0,-1110.96
2025-01-03_08:00_12:00,2025-01-03 08:00:00+01:00,2025-01-03 12:00:00+01:00,4.0,4.4,False,False,16,0.0,True,True,False,True,False,16,14,0,-214.94764705882352,141.068,16.0,16.0,1.0,0.0,0.0,16.0,335.01354631578954,8.0,-645.4799999999999
2025-01-03_12:00_16:00,2025-01-03 12:00:00+01:00,2025-01-03 16:00:00+01:00,4.0,5.98,False,False,16,0.0,True,True,False,True,False,14,9,0,-51.80764705882353,457.132,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-01-03_16:00_20:00,2025-01-03 16:00:00+01:00,2025-01-03 20:00:00+01:00,4.0,2.08,False,False,16,0.0,True,True,False,True,False,8,8,2,-59.64764705882353,464.968,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-01-03_20:00_00:00,2025-01-03 20:00:00+01:00,2025-01-04 00:00:00+01:00,4.0,4.17,False,False,16,0.0,True,True,False,True,False,12,11,1,-116.81764705882352,361.776,16.0,16.0,1.0,0.0,0.0,16.0,328.6231578947369,4.0,-17.32
2025-01-04_00:00_04:00,2025-01-04 00:00:00+01:00,2025-01-04 04:00:00+01:00,4.0,11.13,False,False,16,0.0,True,True,False,True,False,9,9,1,-161.70764705882354,373.036,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-01-04_04:00_08:00,2025-01-04 04:00:00+01:00,2025-01-04 08:00:00+01:00,4.0,9.43,False,False,16,0.0,True,True,False,True,False,15,15,1,-232.60764705882355,147.364,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
